261.077, 129.099, 4.102,  4.379 False
260.940, 129.095, 4.131,  4.412 False
260.801, 129.091, 4.163,  4.445 False
260.662, 129.087, 4.194,  4.478 False
260.521, 129.083, 4.226,  4.511 False
260.380, 129.079, 4.256,  4.544 False
260.237, 129.074, 4.288,  4.577 False
260.093, 129.070, 4.318,  4.610 False
259.949, 129.066, 4.349,  4.643 False
259.803, 129.063, 4.378,  4.676 False
259.656, 129.059, 4.410,  4.709 False
259.509, 129.056, 4.440,  4.742 False
259.360, 129.052, 4.471,  4.775 False
259.210, 129.048, 4.501,  4.808 False
259.059, 129.044, 4.533,  4.841 False
258.908, 129.040, 4.562,  4.874 False
258.755, 129.036, 4.594,  4.907 False
258.601, 129.033, 4.623,  4.940 False
258.446, 129.030, 4.654,  4.973 False
258.290, 129.026, 4.684,  5.006 False
258.133, 129.022, 4.715,  5.039 False
257.975, 129.018, 4.745,  5.072 False
257.817, 129.015, 4.777,  5.105 False
257.657, 129.011, 4.806,  5.138 False
257.496, 129.008, 4.837,  5.171 False
257.334, 129.005, 4.866,  5.204 False
257.171, 129.001, 4.898,  5.237 False
257.007, 128.998, 4.927,  5.270 False
256.842, 128.994, 4.958,  5.303 False
256.676, 128.991, 4.988,  5.336 False
256.509, 128.987, 5.020,  5.369 False
256.341, 128.984, 5.048,  5.402 False
256.172, 128.981, 5.080,  5.435 False
256.002, 128.977, 5.109,  5.468 False
255.831, 128.974, 5.142,  5.501 False
255.659, 128.971, 5.171,  5.534 False
255.485, 128.967, 5.203,  5.567 False
255.312, 128.964, 5.224,  5.600 False
255.137, 128.961, 5.231,  5.633 False
254.964, 128.958, 5.225,  5.666 False
254.790, 128.954, 5.226,  5.699 False
254.616, 128.951, 5.234,  5.732 False
254.441, 128.948, 5.254,  5.765 False
254.265, 128.945, 5.280,  5.798 False
254.088, 128.942, 5.316,  5.831 False
253.910, 128.939, 5.355,  5.864 False
253.730, 128.936, 5.400,  5.897 False
253.549, 128.933, 5.443,  5.930 False
253.366, 128.930, 5.488,  5.963 False
253.182, 128.927, 5.530,  5.996 False
252.997, 128.924, 5.572,  6.029 False
252.810, 128.921, 5.610,  6.062 False
252.622, 128.918, 5.648,  6.095 False
252.433, 128.916, 5.683,  6.128 False
252.242, 128.913, 5.719,  6.161 False
252.051, 128.910, 5.753,  6.194 False
251.858, 128.907, 5.788,  6.227 False
251.665, 128.905, 5.820,  6.260 False
251.470, 128.902, 5.855,  6.293 False
251.274, 128.899, 5.888,  6.326 False
251.077, 128.897, 5.922,  6.359 False
250.879, 128.894, 5.954,  6.392 False
250.680, 128.891, 5.988,  6.425 False
250.479, 128.889, 6.020,  6.458 False
250.278, 128.886, 6.054,  6.491 False
250.075, 128.884, 6.085,  6.524 False
249.872, 128.881, 6.119,  6.557 False
249.667, 128.879, 6.149,  6.590 False
249.461, 128.877, 6.183,  6.623 False
249.255, 128.874, 6.213,  6.656 False
249.047, 128.872, 6.246,  6.689 False
248.838, 128.870, 6.276,  6.722 False
248.628, 128.868, 6.309,  6.755 False
248.417, 128.865, 6.338,  6.788 False
248.205, 128.863, 6.371,  6.821 False
247.992, 128.861, 6.401,  6.854 False
247.778, 128.859, 6.433,  6.887 False
247.563, 128.857, 6.463,  6.920 False
247.347, 128.855, 6.495,  6.953 False
247.129, 128.853, 6.524,  6.986 False
246.911, 128.851, 6.557,  7.019 False
246.692, 128.849, 6.586,  7.052 False
246.472, 128.847, 6.618,  7.085 False
246.250, 128.846, 6.647,  7.118 False
246.028, 128.844, 6.679,  7.151 False
245.805, 128.842, 6.708,  7.184 False
245.580, 128.841, 6.739,  7.217 False
245.355, 128.839, 6.767,  7.250 False
245.129, 128.838, 6.798,  7.283 False
244.902, 128.836, 6.825,  7.316 False
244.674, 128.835, 6.856,  7.349 False
244.444, 128.833, 6.883,  7.382 False
244.214, 128.832, 6.914,  7.415 False
243.983, 128.830, 6.941,  7.448 False
243.751, 128.829, 6.972,  7.481 False
243.518, 128.828, 7.000,  7.514 False
243.284, 128.827, 7.031,  7.547 False
243.049, 128.825, 7.058,  7.580 False
242.813, 128.824, 7.089,  7.613 False
242.576, 128.823, 7.117,  7.646 False
242.338, 128.822, 7.148,  7.679 False
242.099, 128.821, 7.176,  7.712 False
241.859, 128.820, 7.207,  7.745 False
241.618, 128.819, 7.234,  7.778 False
241.376, 128.818, 7.265,  7.811 False
241.134, 128.817, 7.293,  7.844 False
240.890, 128.817, 7.324,  7.877 False
240.645, 128.816, 7.351,  7.910 False
240.399, 128.815, 7.382,  7.943 False
240.152, 128.814, 7.410,  7.976 False
239.905, 128.814, 7.441,  8.009 False
239.656, 128.813, 7.468,  8.042 False
239.406, 128.812, 7.499,  8.075 False
239.156, 128.812, 7.526,  8.108 False
238.904, 128.811, 7.556,  8.141 False
238.651, 128.811, 7.584,  8.174 False
238.398, 128.811, 7.614,  8.207 False
238.143, 128.810, 7.641,  8.240 False
237.888, 128.810, 7.672,  8.273 False
237.631, 128.809, 7.699,  8.306 False
237.374, 128.809, 7.730,  8.339 False
237.116, 128.809, 7.757,  8.372 False
236.856, 128.809, 7.788,  8.405 False
236.596, 128.809, 7.815,  8.438 False
236.335, 128.809, 7.846,  8.471 False
236.073, 128.809, 7.873,  8.504 False
235.809, 128.809, 7.904,  8.537 False
235.545, 128.809, 7.931,  8.570 False
235.280, 128.809, 7.962,  8.603 False
235.014, 128.809, 7.990,  8.636 False
234.747, 128.809, 8.021,  8.669 False
234.479, 128.809, 8.048,  8.702 False
234.210, 128.809, 8.079,  8.735 False
233.940, 128.809, 8.106,  8.768 False
233.669, 128.810, 8.137,  8.801 False
233.397, 128.810, 8.165,  8.834 False
233.124, 128.810, 8.196,  8.867 False
232.850, 128.811, 8.223,  8.900 False
232.575, 128.811, 8.253,  8.933 False
232.299, 128.811, 8.277,  8.966 False
232.023, 128.812, 8.296,  8.999 False
231.746, 128.812, 8.312,  9.032 False
231.469, 128.813, 8.325,  9.065 False
231.191, 128.814, 8.336,  9.098 False
230.913, 128.814, 8.346,  9.131 False
230.635, 128.815, 8.354,  9.164 False
230.357, 128.815, 8.361,  9.197 False
230.078, 128.816, 8.367,  9.230 False
229.799, 128.817, 8.372,  9.263 False
229.520, 128.818, 8.377,  9.296 False
229.241, 128.819, 8.381,  9.329 False
228.961, 128.819, 8.384,  9.362 False
228.682, 128.820, 8.387,  9.395 False
228.402, 128.821, 8.389,  9.428 False
228.123, 128.822, 8.392,  9.461 False
227.843, 128.823, 8.393,  9.494 False
227.563, 128.824, 8.395,  9.527 False
227.283, 128.825, 8.396,  9.560 False
227.004, 128.826, 8.397,  9.593 False
226.724, 128.827, 8.398,  9.626 False
226.444, 128.828, 8.398,  9.659 False
226.164, 128.829, 8.399,  9.692 False
225.884, 128.830, 8.399,  9.725 False
225.604, 128.831, 8.399,  9.758 False
225.324, 128.833, 8.399,  9.791 False
225.044, 128.834, 8.399,  9.824 False
224.764, 128.835, 8.398,  9.857 False
224.484, 128.836, 8.398,  9.890 False
224.205, 128.837, 8.398,  9.923 False
223.925, 128.839, 8.397,  9.956 False
223.645, 128.840, 8.397,  9.989 False
223.365, 128.841, 8.396, 10.022 False
223.085, 128.843, 8.395, 10.055 False
222.805, 128.844, 8.394, 10.088 False
222.526, 128.845, 8.394, 10.121 False
222.246, 128.847, 8.393, 10.154 False
221.966, 128.848, 8.392, 10.187 False
221.686, 128.850, 8.391, 10.220 False
221.407, 128.851, 8.390, 10.253 False
221.127, 128.852, 8.389, 10.286 False
220.848, 128.854, 8.388, 10.319 False
220.568, 128.855, 8.387, 10.352 False
220.288, 128.857, 8.386, 10.385 False
220.009, 128.858, 8.385, 10.418 False
219.729, 128.860, 8.384, 10.451 False
219.450, 128.861, 8.383, 10.484 False
219.171, 128.863, 8.382, 10.517 False
218.891, 128.865, 8.381, 10.550 False
218.612, 128.866, 8.380, 10.583 False
218.333, 128.868, 8.380, 10.616 False
218.053, 128.869, 8.379, 10.649 False
217.774, 128.871, 8.378, 10.682 False
217.495, 128.872, 8.377, 10.715 False
217.216, 128.874, 8.376, 10.748 False
216.936, 128.876, 8.375, 10.781 False
216.657, 128.877, 8.374, 10.814 False
216.378, 128.879, 8.373, 10.847 False
216.099, 128.880, 8.372, 10.880 False
215.820, 128.882, 8.371, 10.913 False
215.541, 128.884, 8.370, 10.946 False
215.262, 128.885, 8.370, 10.979 False
214.983, 128.887, 8.369, 11.012 False
214.704, 128.889, 8.368, 11.045 False
214.425, 128.890, 8.367, 11.078 False
214.146, 128.892, 8.366, 11.111 False
213.867, 128.894, 8.366, 11.144 False
213.589, 128.895, 8.365, 11.177 False
213.310, 128.897, 8.364, 11.210 False
213.031, 128.899, 8.363, 11.243 False
212.752, 128.900, 8.363, 11.276 False
212.474, 128.902, 8.362, 11.309 False
212.195, 128.904, 8.361, 11.342 False
211.916, 128.906, 8.357, 11.375 False
211.638, 128.907, 8.352, 11.408 False
211.360, 128.909, 8.333, 11.441 False
211.083, 128.911, 8.310, 11.474 False
210.807, 128.912, 8.280, 11.507 False
210.532, 128.914, 8.249, 11.540 False
210.258, 128.916, 8.214, 11.573 False
209.985, 128.917, 8.183, 11.606 False
209.714, 128.919, 8.149, 11.639 False
209.443, 128.921, 8.119, 11.672 False
209.173, 128.922, 8.087, 11.705 False
208.904, 128.924, 8.059, 11.738 False
208.637, 128.925, 8.029, 11.771 False
208.370, 128.927, 8.001, 11.804 False
208.104, 128.929, 7.971, 11.837 False
207.839, 128.930, 7.943, 11.870 False
207.575, 128.932, 7.913, 11.903 False
207.312, 128.933, 7.885, 11.936 False
207.050, 128.935, 7.854, 11.969 False
206.789, 128.936, 7.827, 12.002 False
206.529, 128.938, 7.796, 12.035 False
206.270, 128.939, 7.769, 12.068 False
206.011, 128.941, 7.739, 12.101 False
205.754, 128.942, 7.712, 12.134 False
205.498, 128.944, 7.681, 12.167 False
205.242, 128.945, 7.654, 12.200 False
204.988, 128.947, 7.623, 12.233 False
204.735, 128.948, 7.596, 12.266 False
204.482, 128.950, 7.565, 12.299 False
204.231, 128.951, 7.538, 12.332 False
203.980, 128.953, 7.507, 12.365 False
203.731, 128.954, 7.480, 12.398 False
203.482, 128.955, 7.449, 12.431 False
203.235, 128.957, 7.422, 12.464 False
202.988, 128.958, 7.391, 12.497 False
202.742, 128.959, 7.363, 12.530 False
202.498, 128.961, 7.332, 12.563 False
202.254, 128.962, 7.305, 12.596 False
202.011, 128.963, 7.274, 12.629 False
201.769, 128.965, 7.247, 12.662 False
201.529, 128.966, 7.216, 12.695 False
201.289, 128.967, 7.189, 12.728 False
201.050, 128.968, 7.158, 12.761 False
200.812, 128.975, 7.124, 12.794 False
200.576, 128.984, 7.089, 12.827 False
200.340, 128.990, 7.063, 12.860 False
200.105, 128.993, 7.034, 12.893 False
199.872, 128.997, 7.009, 12.926 False
199.639, 129.001, 6.981, 12.959 False
199.407, 129.011, 6.946, 12.992 False
199.177, 129.024, 6.911, 13.025 False
198.947, 129.033, 6.887, 13.058 False
198.718, 129.040, 6.858, 13.091 False
198.491, 129.054, 6.823, 13.124 False
198.265, 129.070, 6.790, 13.157 False
198.039, 129.082, 6.765, 13.190 False
197.815, 129.092, 6.736, 13.223 False
197.591, 129.103, 6.711, 13.256 False
197.368, 129.114, 6.682, 13.289 False
197.146, 129.124, 6.656, 13.322 False
196.925, 129.134, 6.627, 13.355 False
196.705, 129.145, 6.601, 13.388 False
196.486, 129.155, 6.571, 13.421 False
